,customer_number,Cluster,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,seasonal_gifting,discount_bakery,practical_items,total_spend,recency,frequency,name
0,11387,2,64.58,35.91,107.78,27.08,29.59,54.83,6.35,22.83,21.51,28.62,162.1,28.02,28.12,28.54,2.0,7.48,0.0,0.84,697.76,13,64,c
1,8171,0,16.89,37.24,28.84,33.43,66.4,22.06,12.09,2.34,78.74,26.44,0.0,8.42,2.65,3.76,0.0,9.99,0.0,0.0,369.31,2,50,a
2,1060,0,87.3,82.98,49.88,20.57,37.04,9.85,57.98,31.12,14.53,54.65,0.0,0.0,2.6,0.0,18.0,106.46,0.0,0.0,668.68,15,40,a
3,3728,2,84.05,186.56,175.5,119.84,111.08,13.05,25.54,124.42,15.24,0.95,127.7,0.0,0.0,0.0,4.0,0.0,0.0,4.5,1104.1,2,51,c
4,14621,0,35.16,121.31,79.23,29.03,37.17,40.06,0.0,4.68,3.33,36.24,0.0,2.55,99.16,0.0,0.0,3.4,0.0,0.0,524.45,8,90,a
5,12563,4,25.76,19.11,20.84,37.29,8.99,0.0,17.65,14.48,8.08,17.32,0.0,36.74,5.5,3.73,0.0,0.0,11.28,0.0,251.01,9,18,e
6,1652,0,97.6,31.16,21.5,47.13,26.29,4.12,24.92,1.26,14.53,31.96,0.0,0.0,0.0,9.83,0.0,0.0,0.0,0.0,349.66999999999996,1,95,a
7,2989,0,52.82,51.56,51.92,63.79,61.78,15.35,24.52,22.16,36.97,47.08,0.0,0.0,10.46,19.1,0.0,1.7,0.0,5.08,514.0200000000001,7,17,a
8,14219,0,126.27,132.41,35.54,84.98,23.47,0.0,9.99,9.63,49.8,14.6,0.0,0.0,0.89,4.56,0.0,0.0,0.0,0.0,524.63,2,77,a
9,1831,4,2.77,16.4,47.54,16.86,5.42,9.42,5.43,1.57,6.14,4.52,0.0,2.97,0.55,0.0,9.0,0.0,0.0,0.0,231.49,1,63,e
10,1433,0,44.35,47.36,56.74,43.63,29.66,10.2,15.91,8.39,12.34,14.38,0.0,0.0,45.96,0.0,0.0,0.0,0.0,0.0,348.32000000000005,2,50,a
11,14801,0,181.41,82.99,36.72,24.35,15.46,9.47,18.32,0.0,27.51,35.42,0.0,0.0,0.0,18.32,124.0,0.0,0.0,0.0,797.13,2,52,a
12,16316,4,42.58,28.96,35.96,16.56,33.55,1.78,6.46,24.48,12.79,0.0,0.0,73.37,24.65,4.01,0.0,0.0,0.0,5.32,330.4,1,17,e
13,3386,0,398.89,216.74,108.8,84.26,176.22,16.95,36.14,10.25,23.92,115.56,0.0,0.0,0.0,14.22,0.0,7.87,0.0,2.96,1263.4700000000003,2,27,a
14,1461,3,19.16,35.99,78.77,15.24,57.33,55.74,18.64,60.56,11.27,18.98,0.0,159.27,0.0,9.6,6.0,2.11,0.0,0.0,646.8399999999999,1,81,d
15,1671,3,128.51,109.94,76.7,33.64,26.4,6.41,53.45,6.53,91.04,71.88,0.0,11.31,25.08,1.95,0.0,1.83,54.5,0.0,756.81,2,86,d
16,11607,3,168.37,62.11,143.92,161.05,64.34,10.73,8.65,32.11,174.86,13.56,0.0,18.23,0.0,1.19,0.0,20.51,0.0,0.84,895.6400000000001,14,19,d
17,13908,3,210.42,168.84,57.47,89.24,40.89,0.0,51.17,17.72,27.25,153.77,0.0,79.46,3.13,1.19,0.0,0.0,0.0,0.0,914.8399999999999,2,67,d
18,15458,4,2.05,2.49,10.46,1.94,2.55,0.4,0.59,0.0,1.88,0.0,0.0,0.0,0.83,3.97,0.0,1.99,0.0,0.0,30.229999999999997,9,6,e
19,15932,1,24.72,23.43,80.13,2.04,128.2,16.01,1.61,18.66,3.53,0.0,87.34,0.0,0.0,0.79,0.0,35.19,0.0,0.0,445.09000000000003,1,27,b
20,10931,3,62.84,77.2,62.59,110.94,51.46,13.62,35.94,9.74,57.15,25.43,4.17,10.29,4.59,2.33,0.0,2.62,0.0,0.84,586.1999999999999,4,75,d
21,3497,0,21.24,40.71,51.99,59.98,52.66,9.72,19.24,15.18,21.34,44.49,0.0,2.55,0.0,3.68,1.0,0.0,0.0,0.0,650.08,1,60,a
22,12855,3,129.31,127.46,88.7,75.04,46.54,0.0,0.0,95.72,38.58,89.14,0.0,25.28,66.57,14.71,0.0,2.55,0.0,0.0,862.26,1,28,d
23,12618,1,32.98,31.54,25.76,33.61,17.9,0.0,90.16,0.0,0.0,26.58,504.12,0.0,0.0,18.49,0.0,35.72,0.0,0.0,839.8799999999999,11,22,b
24,12156,1,33.41,5.77,13.57,57.57,10.66,0.0,18.81,14.14,0.0,0.0,536.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.2900000000001,1,129,b
25,3663,2,122.8,238.48,79.68,142.21,237.77,53.28,88.82,24.9,62.06,58.93,301.4,0.0,1.9,11.78,0.0,0.84,0.0,11.05,1483.3,1,139,c
26,2937,4,39.39,52.1,49.11,23.35,23.06,1.8,10.42,5.36,9.2,7.66,0.0,53.2,0.0,2.29,4.0,1.15,0.0,0.0,301.45000000000005,3,63,e
27,5596,2,37.14,93.14,91.07,46.21,54.38,22.5,87.71,89.9,102.38,53.16,117.36,435.64,0.0,3.21,5.0,9.07,0.0,0.0,1353.9499999999998,5,96,c
28,3647,2,101.58,72.19,80.8,56.62,59.33,31.15,20.46,2.0,41.83,36.78,565.85,0.0,34.38,37.63,0.0,0.0,0.0,0.0,1214.2399999999998,1,125,c
29,10901,4,42.1,28.54,13.08,13.06,15.24,17.32,16.15,4.07,6.33,3.18,4.18,2.85,0.0,16.41,0.0,3.78,10.43,0.0,209.74,74,44,e
30,11174,3,122.22,141.77,59.31,143.72,138.18,11.61,99.32,14.27,117.09,182.65,3.54,105.59,0.39,8.03,0.0,9.99,0.0,1.1,1293.0700000000002,3,52,d
31,8972,2,156.98,125.21,19.47,175.49,109.18,50.84,15.5,31.75,50.96,228.1,677.81,298.75,27.83,15.62,72.8,16.02,0.0,11.89,2212.73,1,97,c
32,10981,3,115.14,117.8,81.49,114.61,68.63,11.33,21.62,89.33,78.48,65.1,8.16,32.72,11.59,27.99,2.0,6.65,0.0,12.98,923.25,9,48,d
33,8563,2,74.34,33.65,39.33,36.47,47.35,1.95,25.65,9.78,46.97,163.19,167.5,424.02,6.2,1.27,0.0,0.0,0.0,1.95,1119.15,3,75,c
34,1464,3,39.65,81.62,59.03,48.84,35.31,1.48,60.86,31.12,42.12,21.95,0.0,26.39,7.39,8.07,1.0,16.21,0.0,0.0,529.6,7,32,d
35,12611,0,101.47,90.34,9.25,90.38,43.43,0.0,8.0,50.62,17.51,36.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.6,2,94,a
36,5470,2,97.2,139.36,77.27,43.51,16.36,34.66,43.56,27.59,37.19,66.6,40.17,14.87,0.0,5.07,247.5,4.22,0.0,0.0,1282.7199999999998,1,126,c
37,3331,0,134.22,78.29,139.75,200.43,217.37,9.45,18.23,5.76,167.58,208.86,0.0,0.0,0.0,1.98,0.0,6.41,0.0,0.0,1367.0900000000001,1,28,a
38,6462,2,82.3,75.47,82.49,53.78,60.46,12.96,40.34,29.56,52.77,28.46,117.33,4.41,18.5,0.0,0.0,1.65,0.0,0.0,832.1899999999999,3,176,c
39,3070,1,77.28,56.82,6.0,25.75,25.87,7.2,22.58,78.59,7.25,17.02,80.17,7.64,44.29,2.09,7.0,0.84,0.0,0.0,579.0,4,72,b
40,5377,2,27.55,82.55,86.62,47.07,102.58,44.44,9.41,38.97,98.28,110.33,724.12,3.4,0.0,3.15,144.0,5.06,0.0,0.0,1674.6299999999999,1,192,c
41,15022,4,29.78,7.28,1.06,119.09,26.67,0.35,21.68,0.0,5.2,26.55,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,2407.4500000000003,4,42,e
42,712,4,3.13,17.54,26.28,8.25,14.39,2.5,26.76,25.03,13.0,11.5,0.0,12.57,0.0,8.21,0.0,13.03,0.0,0.0,196.23000000000002,14,26,e
43,2499,3,98.92,53.34,24.16,21.6,55.03,3.2,27.97,11.33,13.61,16.71,0.0,95.65,0.0,0.0,0.0,4.98,1.49,0.0,434.47,49,19,d
44,4857,1,37.71,76.06,20.23,40.18,25.54,57.69,20.46,2.2,33.97,50.87,185.08,0.0,1.08,1.49,27.0,5.33,0.0,0.0,999.8100000000001,1,111,b
45,1419,0,20.61,35.56,63.43,28.58,23.57,12.21,6.56,6.78,33.92,48.5,0.0,0.0,0.0,2.24,1.0,12.04,0.0,0.0,312.15999999999997,1,32,a
46,6162,3,100.66,50.02,16.66,75.98,168.55,4.15,35.89,13.4,41.16,165.27,12.71,100.64,0.0,2.98,0.0,1.27,0.0,3.4,806.0400000000001,17,29,d
47,12412,0,51.92,84.28,68.4,54.16,60.83,0.0,26.19,11.95,22.0,41.17,3.61,9.07,14.94,2.37,17.0,3.4,0.0,7.76,495.06,1,34,a
48,4730,1,9.71,7.05,16.67,9.3,7.44,0.35,5.33,9.1,11.55,4.99,216.76,0.0,1.44,3.12,92.0,0.0,0.0,0.0,407.03000000000003,42,33,b
49,10908,2,346.9,384.46,440.43,242.1,531.16,48.57,372.36,138.6,236.79,339.43,11.87,0.0,316.19,101.34,51.0,63.47,0.0,6.99,3843.5699999999997,1,136,c
50,10421,2,88.79,140.73,37.07,64.2,71.43,0.75,20.54,117.88,16.11,125.59,751.15,808.32,34.01,1.19,78.0,3.4,0.0,0.0,2782.74,1,202,c
51,11476,2,127.2,84.31,141.72,83.57,82.98,61.79,35.39,7.92,57.77,154.75,151.47,174.56,49.07,2.73,64.0,15.0,85.42,3.64,1486.7,2,120,c
52,13694,4,58.12,59.03,96.82,47.68,31.77,0.0,0.0,0.0,1.29,18.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.06,1,23,e
53,7782,0,109.49,54.46,20.33,69.57,67.89,19.55,28.8,4.46,39.16,95.74,0.0,0.0,6.93,15.26,0.0,4.44,0.0,0.0,690.83,4,74,a
54,12128,3,26.02,17.66,55.53,22.74,10.0,0.0,16.14,22.98,27.66,56.76,0.0,27.2,0.0,8.1,2.0,2.53,0.0,0.0,317.95,3,24,d
55,6081,2,103.82,118.68,29.26,51.75,64.81,22.26,51.19,28.89,62.21,99.88,227.59,195.9,0.0,7.22,0.0,0.0,0.0,4.92,1106.99,4,55,c
56,3605,2,53.81,83.74,53.73,46.52,8.66,37.14,107.05,12.72,22.87,94.84,323.07,17.12,1.8,0.0,0.0,0.0,0.0,0.0,932.0100000000001,1,108,c
57,1149,3,78.7,264.6,127.69,154.27,160.0,11.84,36.47,17.92,85.05,24.96,0.0,27.64,148.26,0.76,0.0,0.0,0.0,0.0,1333.99,3,135,d
58,8668,2,102.19,149.53,43.87,60.89,24.33,10.18,24.76,40.4,36.37,60.97,347.35,525.36,9.85,14.04,1.5,3.38,0.0,0.0,1466.6100000000001,1,146,c
59,6070,3,76.18,77.12,63.49,70.26,90.77,53.35,42.24,3.99,2.2,43.5,4.96,54.5,0.0,9.18,27.5,5.44,0.0,0.0,720.5999999999999,2,78,d
60,7307,0,93.85,186.22,302.07,82.62,104.29,24.05,10.02,29.12,93.04,15.61,0.0,0.0,3.47,0.99,0.0,6.09,0.0,0.84,1027.92,1,166,a
61,14612,1,27.52,9.18,123.95,12.87,23.43,9.03,0.0,69.06,10.92,0.0,798.73,0.0,12.1,4.76,3.0,0.0,0.0,4.24,1750.5100000000002,3,123,b
62,2232,3,167.0,34.7,80.78,63.6,106.84,14.28,31.87,104.76,38.88,90.45,0.0,56.34,9.2,8.59,20.0,65.12,0.0,27.14,1155.1,1,96,d
63,12569,2,91.38,111.0,97.65,93.12,105.72,0.0,77.19,22.62,35.58,100.69,567.06,4.26,1.1,10.28,35.0,2.62,0.0,2.12,1449.7199999999998,4,38,c
64,12276,2,215.73,353.51,50.2,96.59,44.47,0.0,50.79,53.68,18.21,112.13,33.29,361.54,0.0,8.28,30.0,5.95,0.0,0.84,1775.6299999999999,2,197,c
65,5080,0,134.04,104.41,31.15,67.86,85.7,10.88,46.1,9.69,45.89,191.4,31.66,0.0,47.69,0.0,0.0,0.0,27.3,0.0,863.76,2,48,a
66,445,3,67.24,79.1,142.23,163.7,42.93,65.2,70.97,0.72,81.61,49.11,0.0,837.26,0.0,0.0,0.0,11.97,35.5,0.0,1700.09,2,80,d
67,9057,2,67.08,41.45,44.98,64.36,35.04,5.82,35.66,11.24,11.91,52.29,433.21,16.84,73.58,6.13,48.0,20.24,60.26,0.0,1109.73,1,180,c
68,9339,2,127.83,99.22,63.12,103.09,507.59,15.35,184.63,43.04,118.99,121.91,709.73,258.55,4.49,0.99,16.0,0.0,14.94,0.0,2424.25,2,103,c
69,11315,3,105.99,91.29,50.58,129.37,43.64,18.74,34.88,9.11,18.0,64.03,0.0,70.4,0.0,8.19,0.0,21.25,0.0,2.97,711.27,4,80,d
70,13412,3,137.4,15.52,102.82,109.67,13.01,0.0,234.63,0.0,103.23,0.0,0.0,215.8,0.0,0.0,0.0,0.0,0.0,0.0,932.0799999999999,31,129,d
71,206,3,221.81,46.39,58.47,79.96,27.05,2.56,66.65,128.21,64.9,159.84,0.0,11.99,157.4,5.58,0.0,10.52,0.0,0.0,1075.19,2,115,d
72,11770,4,13.77,3.74,0.0,2.41,4.07,1.1,7.4,13.41,1.39,4.5,11.41,83.82,0.0,0.0,0.0,0.0,1.59,0.0,246.22,10,14,e
73,3570,3,168.71,76.56,113.23,213.84,270.95,25.73,39.15,59.27,73.18,150.61,0.0,9.35,48.98,29.9,3.0,8.96,0.0,2.45,1383.81,1,55,d
74,2514,3,48.0,98.14,114.46,56.74,81.59,5.04,63.94,23.77,26.24,42.11,0.0,28.91,0.0,4.46,0.0,4.58,0.0,0.0,636.13,2,58,d
75,1654,0,55.08,59.25,42.82,26.37,26.22,6.1,69.29,33.0,33.25,15.26,0.0,6.8,8.09,3.27,3.0,0.0,0.0,0.0,427.18,1,31,a
76,4865,1,64.71,12.48,33.14,18.15,50.96,2.7,16.85,6.18,20.13,25.65,68.76,0.0,14.15,10.01,0.0,15.53,0.0,4.49,402.10999999999996,1,30,b
77,5261,1,30.58,21.08,10.22,3.14,14.31,2.98,30.06,13.79,9.93,34.47,52.72,16.23,0.0,1.49,0.0,1.49,0.0,0.0,253.25,4,7,b
78,11771,3,18.1,27.41,0.0,9.18,8.31,11.08,12.58,34.83,4.5,336.14,0.0,176.74,9.87,28.75,3.0,0.0,2.48,0.0,703.58,2,77,d
79,921,3,120.93,96.53,203.57,149.38,81.99,21.04,10.79,137.96,103.75,21.84,0.0,271.33,0.0,12.98,1.0,33.97,0.0,0.0,1342.48,2,183,d
80,13975,0,99.33,82.24,29.51,46.34,82.67,0.0,52.12,0.88,35.44,113.18,0.0,0.0,0.0,10.83,0.0,0.0,0.0,1.27,569.53,2,35,a
81,10805,4,52.53,52.93,45.87,89.92,10.13,0.55,51.32,5.72,2.48,2.59,11.36,2.8,0.0,9.58,0.0,1.69,0.0,0.0,353.04,3,20,e
82,12159,4,17.1,18.72,5.01,5.77,18.85,0.0,6.69,23.32,11.94,27.25,0.0,280.53,0.38,1.1,0.0,0.0,0.0,0.0,419.68000000000006,2,31,e
83,8717,2,200.51,137.71,155.49,132.47,150.82,1.79,116.87,106.99,164.92,181.97,303.0,9.04,7.2,8.96,3.5,26.7,0.0,0.0,1776.72,2,85,c
84,13367,4,31.33,93.83,32.04,32.24,143.96,0.0,2.43,5.08,13.27,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,368.53,14,34,e
85,12508,4,49.45,38.58,8.44,37.17,8.35,0.0,11.48,3.01,0.0,44.75,0.0,0.0,33.66,0.78,0.0,0.0,0.0,0.0,322.98,4,46,e
86,7729,3,94.69,106.06,181.71,203.46,321.36,8.54,87.62,25.74,72.36,45.73,0.0,32.9,25.41,20.34,0.0,27.71,0.0,0.0,1309.01,8,42,d
87,15966,4,24.65,14.64,11.22,4.81,3.99,351.73,0.99,1.01,4.06,0.0,0.0,0.0,1.3,0.89,13.0,1.7,0.0,0.0,450.86,4,55,e
88,8464,2,152.36,244.7,256.07,246.11,165.32,0.85,152.88,99.99,267.46,163.94,216.69,304.09,6.98,15.02,0.0,16.29,0.0,3.4,2415.0299999999997,3,84,c
89,11596,3,55.57,44.56,81.5,35.79,65.15,7.91,2.58,15.86,81.42,9.77,0.0,21.68,14.69,20.83,0.0,28.94,0.0,1.92,520.67,2,30,d
90,4880,2,132.78,78.76,212.13,54.22,33.8,6.7,104.62,13.74,58.35,19.12,267.23,0.0,0.0,17.97,0.0,4.38,0.0,0.0,1293.5500000000002,1,86,c
91,7830,0,39.03,37.17,17.94,54.61,172.82,10.19,4.55,3.17,5.48,13.23,0.0,0.0,15.35,1.27,0.0,3.9,0.0,0.0,533.4100000000001,4,35,a
92,14995,3,26.54,78.56,34.63,40.61,7.96,30.11,113.32,0.0,68.09,5.23,0.0,57.02,11.09,23.26,6.0,2.89,0.0,7.22,559.3,8,51,d
93,7484,4,9.26,50.12,26.75,33.49,3.48,9.1,4.55,4.57,41.59,35.76,0.0,11.22,34.2,3.96,0.0,0.0,0.0,1.52,300.8,2,44,e
94,14613,1,9.2,8.09,6.38,2.44,7.9,1.4,0.0,2.62,2.55,2.69,213.83,0.0,1.11,6.5,11.0,0.0,0.0,0.0,281.07,3,33,b
95,1045,4,11.78,7.28,30.6,26.85,11.36,0.35,25.77,10.07,13.68,17.59,0.0,0.0,0.0,0.99,0.0,0.84,0.0,0.0,166.05,11,17,e
96,5630,1,28.86,20.02,26.91,18.59,13.75,4.01,16.49,4.32,36.48,42.25,82.93,151.55,0.0,0.0,0.0,0.0,0.0,0.0,454.78,8,15,b
97,2503,0,112.41,49.87,37.7,29.29,34.64,45.15,59.3,18.84,21.02,107.36,0.0,0.0,28.1,11.24,0.0,5.97,0.0,2.55,602.7900000000001,2,173,a
98,9230,4,13.19,0.0,10.48,11.73,0.0,14.14,0.0,1.01,6.98,0.0,0.0,0.0,5.77,1.78,0.0,0.0,1.09,0.0,73.59,2,24,e
99,14409,1,21.44,15.1,23.13,2.07,3.45,0.73,0.0,0.0,0.0,40.46,583.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.8,4,28,b
100,1922,3,41.43,139.07,99.13,55.46,65.71,76.45,24.96,14.51,5.8,15.45,0.0,280.58,0.0,0.0,48.0,0.0,0.0,3.4,874.83,1,108,d
101,11658,0,41.6,67.24,34.32,53.97,11.24,10.38,51.98,6.39,36.19,34.85,13.38,12.39,13.92,4.45,4.0,0.99,9.06,0.59,438.0,15,35,a
102,10896,2,39.74,97.62,27.27,36.01,41.9,17.26,28.18,13.26,48.69,25.96,273.43,40.58,22.15,24.17,65.5,1.27,8.33,0.0,882.27,3,129,c
103,2451,3,70.72,80.66,43.11,49.21,22.73,2.11,45.59,10.73,28.85,46.26,0.0,47.08,2.2,13.64,1.0,0.0,0.0,2.51,492.34000000000003,5,43,d
104,515,4,8.06,4.98,37.64,6.07,1.86,1.18,8.0,12.25,14.08,13.04,0.0,18.74,0.0,0.99,0.0,0.0,0.0,1.69,131.42999999999998,1,11,e
105,6239,2,14.23,32.94,68.49,24.06,34.01,8.7,8.96,33.77,46.71,46.51,154.02,120.41,0.0,8.42,0.0,7.09,0.0,0.67,675.1899999999999,3,98,c
106,13394,0,50.39,54.98,87.33,36.75,63.66,0.0,7.79,14.87,113.54,85.27,3.81,5.68,0.0,0.0,4.0,0.0,0.0,0.0,569.49,1,59,a
107,6618,1,62.32,51.83,29.32,21.83,47.19,3.52,22.07,3.51,34.84,47.16,42.88,53.25,6.16,0.0,9.0,3.4,0.0,0.0,492.22,11,18,b
108,15114,0,123.2,163.63,39.13,202.78,56.03,133.95,8.07,0.0,11.32,23.11,0.0,0.0,4.85,39.94,591.0,0.0,0.0,0.0,1641.1799999999998,1,175,a
109,3028,0,47.58,76.22,66.59,28.64,40.3,21.95,26.76,27.83,65.16,29.94,0.0,0.0,17.55,14.83,0.0,2.51,0.0,0.0,519.99,1,61,a
110,1281,3,72.14,84.85,46.3,92.6,47.38,33.36,25.25,57.19,70.27,38.12,0.0,22.12,0.0,0.0,0.0,1.69,20.22,0.0,633.78,1,49,d
111,1413,0,156.96,132.31,199.82,118.89,74.89,4.6,67.92,88.29,43.49,81.3,0.0,0.0,0.0,0.24,4.0,0.0,0.0,3.35,1048.6599999999999,7,64,a
112,9886,2,92.96,66.96,54.51,44.89,15.33,48.38,35.53,8.63,67.79,81.63,50.61,111.43,40.99,11.76,0.0,9.3,0.0,0.0,793.3899999999999,2,90,c
113,14027,2,114.34,80.98,14.01,11.82,48.68,0.0,110.48,25.98,11.89,60.83,62.3,45.93,0.0,4.27,0.0,116.68,0.0,0.0,753.01,7,44,c
114,1037,0,68.27,133.51,48.34,32.46,25.14,32.78,7.03,11.0,47.75,11.2,0.0,0.0,0.0,0.99,15.0,1.44,0.0,6.79,511.63,2,88,a
115,7814,3,78.59,29.12,20.61,54.32,37.73,13.0,13.07,2.35,6.03,59.39,0.64,45.76,29.26,1.64,0.0,1.69,0.0,0.0,408.03999999999996,1,49,d
116,10189,3,181.84,47.64,18.66,25.0,15.64,7.65,29.26,2.84,24.46,12.97,0.0,23.36,30.03,15.12,0.0,4.96,0.0,0.0,449.01,4,48,d
117,4934,1,26.0,34.33,32.75,13.54,25.11,12.56,19.35,3.55,11.72,12.64,512.67,0.0,4.86,0.0,6.0,0.0,2.22,3.4,763.0600000000001,1,73,b
118,3730,0,54.18,89.33,48.28,78.73,65.14,3.82,74.84,14.96,49.54,82.34,11.36,0.0,0.53,5.16,0.0,6.35,2.9,2.37,637.0999999999999,8,24,a
119,10761,3,199.11,88.51,85.35,95.89,104.01,95.32,44.03,7.53,139.7,10.72,0.0,92.03,58.98,29.12,1.0,17.01,0.0,17.17,1191.06,1,139,d
120,510,3,37.96,84.07,26.32,42.7,34.4,8.55,22.68,10.88,18.97,18.0,0.0,43.15,3.79,30.55,0.0,0.0,0.0,1.06,432.24,15,54,d
121,15328,4,21.59,10.96,12.15,13.04,5.01,0.4,10.27,0.0,5.73,32.86,0.0,0.0,0.77,18.03,19.0,0.0,2.38,0.0,184.4,131,17,e
122,9311,3,22.17,60.27,32.56,106.24,81.5,0.0,0.0,81.19,31.09,78.47,7.42,181.93,0.0,0.0,0.0,0.84,0.0,0.0,705.97,31,18,d
123,15018,1,23.07,19.79,30.88,17.18,18.21,11.55,9.95,0.0,21.24,33.9,48.54,8.5,1.58,3.18,0.0,0.0,0.0,0.0,420.15,7,57,b
124,13301,3,56.26,107.64,33.94,70.83,79.37,0.0,37.91,10.19,7.75,48.34,0.0,17.68,13.11,3.42,0.0,0.0,0.0,0.0,531.11,7,28,d
125,4163,0,97.14,171.96,64.02,206.75,41.16,42.87,33.85,15.44,2.31,111.0,31.4,0.0,4.22,0.0,26.0,0.0,0.0,0.0,879.88,1,171,a
126,1030,4,18.12,8.4,41.15,11.17,26.2,5.75,11.98,21.27,22.21,6.98,0.0,0.0,0.0,5.23,2.0,0.0,0.0,0.0,181.34,2,30,e
127,12331,1,11.03,10.12,26.13,17.67,164.58,0.0,3.29,11.62,7.33,9.97,226.53,0.0,25.33,2.97,71.5,0.42,0.0,1.52,630.9300000000001,5,59,b
128,4351,1,71.02,56.94,72.88,16.34,19.95,0.76,4.54,112.91,30.41,7.07,69.64,0.0,0.0,0.0,3.0,0.0,0.0,0.0,472.62000000000006,2,75,b
129,9112,2,116.22,97.32,88.89,58.58,80.18,7.49,62.16,22.56,70.6,92.09,87.97,106.93,3.9,23.35,93.0,1.15,4.72,0.0,1061.33,1,38,c
130,6153,2,23.41,102.8,206.91,62.61,151.83,16.39,8.59,25.63,129.6,35.0,36.03,43.35,0.0,6.93,0.0,13.91,0.0,3.4,1014.73,6,37,c
131,11990,4,35.37,14.83,8.28,21.31,0.0,22.17,8.3,4.65,0.0,19.38,0.0,73.92,24.82,1.97,0.0,0.0,0.0,0.0,496.33000000000004,2,42,e
132,4290,0,112.07,72.07,185.07,56.6,119.56,61.96,102.7,5.68,34.59,32.91,23.93,0.0,39.88,45.67,0.0,9.03,9.9,0.0,981.13,2,93,a
133,13551,4,9.19,29.11,5.18,8.84,2.34,0.0,9.96,0.0,12.25,19.34,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,103.24000000000001,1,10,e
134,12476,1,1.44,18.48,25.35,130.46,106.5,0.0,0.0,1.77,1.49,20.56,164.95,0.0,3.99,14.24,1.5,55.67,20.29,3.4,616.5699999999999,6,40,b
135,71,3,195.01,58.85,222.11,176.19,129.99,14.07,0.49,51.15,30.32,141.86,0.0,100.21,6.82,6.64,0.0,2.51,4.44,2.79,1233.7800000000002,4,42,d
136,896,3,70.92,29.99,19.69,19.57,39.21,5.11,20.4,3.57,9.99,12.6,0.0,100.96,0.89,6.93,48.0,3.72,0.0,0.0,401.89,7,91,d
137,9501,2,129.27,156.93,77.85,81.92,80.59,21.06,62.22,21.04,55.73,9.45,288.26,11.9,4.94,15.62,7.0,39.42,0.0,1.69,1244.32,1,112,c
138,14260,4,32.27,31.12,30.41,99.69,49.49,0.0,22.94,0.0,60.79,23.04,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,386.73,86,11,e
139,13757,3,17.13,72.72,82.03,87.2,86.29,0.0,60.57,59.13,67.62,127.68,0.0,11.41,69.08,0.0,0.0,1.26,0.0,0.0,755.75,55,39,d
140,15135,3,194.88,76.68,80.16,105.9,26.48,17.9,5.1,0.0,14.39,160.59,0.96,671.13,9.41,23.07,0.0,3.79,0.0,2.12,1404.6399999999999,1,175,d
141,2692,2,101.61,200.67,84.44,103.67,225.69,62.05,176.6,17.37,60.54,121.06,1035.38,12.75,50.01,11.93,14.0,12.42,0.0,0.0,2425.46,1,166,c
142,10261,2,110.24,69.53,52.25,49.17,122.88,11.45,11.69,61.79,34.21,147.13,356.05,103.77,15.33,21.9,67.0,18.53,0.0,0.0,1301.7199999999998,1,85,c
143,8245,0,20.73,28.22,44.24,40.03,112.85,2.48,16.06,7.27,39.57,5.99,5.8,3.5,10.43,8.26,0.0,1.99,0.0,5.95,370.87,4,89,a
144,7175,3,88.55,48.53,46.24,64.58,75.13,2.1,11.55,19.29,8.48,79.94,13.27,115.83,9.04,5.62,0.0,14.14,0.0,0.0,632.0,4,88,d
145,5556,1,8.03,62.81,24.45,44.35,15.26,0.35,24.1,9.71,55.71,15.37,13.95,7.64,0.0,3.71,0.0,0.0,0.0,0.0,312.66999999999996,2,19,b
146,3870,1,2.42,12.77,18.03,10.62,52.98,4.82,2.92,20.87,2.3,7.67,21.3,0.0,3.6,2.63,6.0,0.0,0.0,0.0,207.25,21,22,b
147,5498,2,145.8,70.29,109.41,149.47,208.66,1.4,22.72,49.49,25.78,35.82,656.68,2.2,0.0,56.43,0.0,6.23,0.0,0.0,1623.21,1,27,c
148,14825,1,9.01,28.02,2.38,6.05,10.37,19.12,2.09,0.0,14.32,5.79,607.61,0.0,0.0,2.57,30.5,1.35,0.0,0.0,830.22,2,58,b
149,8803,4,12.57,0.0,5.92,1.89,0.0,0.0,6.44,0.0,10.47,20.09,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,61.35000000000001,84,5,e
150,935,3,21.4,73.36,23.51,100.64,77.05,8.09,31.56,6.3,4.07,18.34,0.0,113.66,65.73,2.84,0.0,0.0,6.38,0.0,576.91,7,27,d
151,8639,3,42.64,37.4,23.75,24.86,20.8,39.35,14.38,3.34,6.62,45.93,0.0,56.17,1.05,3.21,0.0,5.67,0.0,0.0,332.89,2,47,d
