,customer_number,Cluster,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,seasonal_gifting,discount_bakery,practical_items,total_spend,recency,frequency,name
1112,7330,1,16.37,31.29,12.33,8.85,21.72,6.95,23.9,8.26,16.25,4.0,232.52,2.97,10.35,2.82,0.0,3.09,0.0,3.4,429.6599999999999,3,62,b
1113,16038,1,9.05,22.95,29.81,14.66,25.39,1.1,8.34,10.33,8.11,0.0,134.73,39.12,0.0,0.99,0.0,0.0,0.0,0.0,324.99,3,35,b
1114,7334,0,203.59,294.62,108.42,184.92,50.05,0.4,17.57,4.3,12.14,134.17,0.0,0.0,4.2,6.68,0.0,0.0,0.0,0.0,1075.83,1,38,a
1115,3182,3,44.0,43.02,38.43,23.8,6.36,53.19,34.05,3.31,26.77,17.08,0.0,48.5,4.0,7.99,88.0,0.0,0.0,0.0,468.73,1,88,d
1116,4711,2,108.02,68.46,36.6,40.51,38.5,13.5,42.13,6.03,4.71,92.42,656.06,0.0,1.1,24.69,5.0,45.43,0.0,0.0,1234.1599999999999,3,88,c
1117,11710,3,45.92,58.42,48.77,32.37,15.19,1.5,36.46,7.14,14.54,22.54,4.95,39.36,7.86,4.45,0.0,3.43,0.0,1.95,377.65999999999997,4,36,d
1118,12432,0,57.09,45.28,67.72,53.11,79.55,0.0,25.83,24.13,42.34,80.52,11.79,0.0,7.46,0.0,0.0,3.52,0.0,6.81,1000.86,8,75,a
1119,12091,4,29.36,17.29,2.36,5.63,17.98,0.0,0.0,0.0,4.34,23.38,0.0,9.43,40.96,2.97,53.0,2.62,0.0,0.0,263.8,1,44,e
1120,7032,1,21.67,15.6,40.82,39.52,23.59,14.58,27.56,8.92,6.77,24.04,55.35,22.52,2.7,10.36,0.0,5.45,0.0,0.0,450.45,22,31,b
1121,7855,2,3.9,56.59,84.19,56.24,51.62,15.72,19.41,43.25,12.58,9.03,160.15,42.96,14.95,13.6,0.0,0.0,0.0,1.27,879.2499999999999,1,163,c
1122,6117,3,26.61,50.84,56.02,25.89,35.3,3.5,27.91,49.96,73.68,23.71,11.34,63.55,0.0,0.0,35.5,12.05,0.0,4.07,547.91,10,42,d
1123,15125,4,3.67,33.7,11.64,53.96,50.91,2.25,9.56,0.0,43.14,2.33,0.0,0.0,0.74,0.0,1.5,0.0,0.0,0.0,214.07000000000002,9,22,e
1124,14671,3,89.6,127.35,98.2,75.35,104.07,63.85,0.0,0.33,23.75,227.22,0.0,190.56,16.01,1.89,0.0,4.49,0.0,16.73,1062.25,1,30,d
1125,11400,0,23.37,47.51,4.9,24.18,28.77,39.96,1.99,6.08,11.33,6.76,2.13,3.82,40.34,13.86,59.0,1.27,0.0,5.22,553.56,7,67,a
1126,12346,3,222.36,199.38,88.08,23.95,231.32,0.0,45.2,12.52,33.15,88.63,0.0,36.84,0.0,3.71,0.0,0.0,0.0,0.0,997.04,7,21,d
1127,6981,1,76.49,57.43,31.95,20.67,38.08,1.05,15.88,1.79,14.91,1.59,378.91,7.3,29.3,1.59,0.0,20.24,0.0,0.0,737.46,14,49,b
1128,2832,3,52.8,65.53,106.36,128.98,51.27,14.25,38.12,45.45,29.43,69.15,0.0,233.86,1.53,8.46,0.0,6.4,0.0,0.0,904.49,11,59,d
1129,14104,1,12.31,22.92,13.23,4.71,10.92,0.0,4.99,1.06,0.0,2.5,659.77,144.5,15.08,0.0,0.0,1.13,0.0,0.0,894.1199999999999,4,26,b
1130,9362,1,62.82,82.98,9.75,28.47,6.69,1.65,19.59,10.55,9.35,32.63,120.81,4.33,36.65,5.83,3.0,0.0,0.0,0.0,459.05999999999995,1,67,b
1131,7789,0,104.54,16.21,101.92,54.89,40.29,28.83,73.91,7.56,45.25,40.91,0.0,3.82,4.39,6.33,0.0,0.0,0.0,0.0,545.25,14,56,a
1132,5831,3,116.35,47.79,27.6,130.24,23.21,2.23,85.99,15.83,32.59,197.06,18.02,66.26,0.0,9.4,0.0,6.41,0.0,1.69,812.1300000000001,1,97,d
1133,10537,2,116.44,112.09,73.99,109.05,54.14,7.75,80.64,165.44,75.94,351.48,7.7,319.43,32.18,21.34,80.0,9.96,0.0,0.0,1808.7099999999998,1,152,c
1134,4805,2,62.85,90.01,53.35,55.11,85.54,24.14,53.4,35.96,11.72,20.02,107.57,0.0,2.29,1.17,0.0,12.11,0.0,1.69,862.5999999999999,3,82,c
1135,12731,3,3.4,39.56,24.87,52.5,39.25,0.0,32.03,1.73,43.36,59.98,0.0,42.74,6.86,0.0,0.0,3.38,0.0,7.2,375.7,3,45,d
1136,13888,0,86.31,61.23,116.7,118.13,88.11,0.0,0.85,6.67,21.29,33.2,0.0,1.69,9.79,23.94,2.0,0.0,0.0,0.0,609.1800000000001,2,40,a
1137,9001,2,45.56,51.25,23.51,30.13,61.44,2.32,15.96,3.34,9.43,80.85,20.64,10.28,50.63,8.62,92.0,5.95,0.0,10.81,532.22,7,35,c
1138,12344,1,54.91,47.77,126.94,60.68,28.12,0.0,0.59,36.88,0.0,24.75,268.92,0.0,0.0,0.0,0.0,0.0,0.0,3.82,725.77,1,36,b
1139,5679,1,0.89,39.29,31.99,42.96,32.94,1.1,35.57,17.84,14.75,20.16,21.64,90.51,0.0,0.0,9.1,4.25,0.0,3.4,448.90000000000003,4,58,b
1140,8387,3,51.9,41.57,9.31,106.32,112.24,6.82,3.47,2.2,31.3,105.36,0.0,306.23,49.81,8.06,0.0,2.07,0.0,0.0,860.2,3,103,d
1141,8220,3,41.92,11.83,33.46,50.86,14.26,23.51,50.4,1.66,23.21,22.37,8.85,17.73,34.13,1.09,0.0,0.0,0.0,0.0,354.31,1,78,d
1142,15142,3,99.29,59.0,38.17,47.06,9.41,31.29,56.62,0.0,31.93,37.63,0.0,80.32,104.29,0.0,0.0,0.0,0.0,0.0,615.9000000000001,1,66,d
1143,8577,1,12.07,29.01,5.41,29.37,17.16,0.8,5.26,3.69,39.96,3.92,42.79,45.45,2.0,1.98,0.0,0.0,0.0,0.0,309.88,18,42,b
1144,4724,1,11.78,43.79,14.92,23.87,20.14,1.1,11.5,14.66,15.59,57.8,87.02,0.0,0.0,2.78,0.0,2.04,0.0,0.0,318.7199999999999,9,54,b
1145,16167,0,16.13,46.1,53.45,15.51,26.72,6.7,35.95,23.63,18.36,0.0,9.93,0.0,13.08,2.05,12.0,2.77,0.0,8.48,327.22,3,57,a
1146,281,3,101.75,241.28,178.22,78.03,157.77,60.03,54.08,73.4,90.47,0.5,0.0,88.83,0.89,43.19,0.0,8.5,0.0,3.31,1282.69,1,128,d
1147,12798,4,28.33,19.44,21.1,47.7,33.28,0.0,19.6,13.49,40.42,10.74,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,252.79,15,13,e
1148,910,3,24.56,95.91,122.32,25.94,43.51,27.8,55.96,48.15,18.88,11.45,0.0,31.73,55.91,21.05,74.0,0.0,0.0,0.0,721.9399999999999,3,92,d
1149,14279,4,32.64,22.2,34.47,15.53,22.6,0.0,4.16,45.58,37.84,21.31,0.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,298.45000000000005,1,8,e
1150,8325,0,81.06,94.6,66.76,100.04,56.9,4.98,22.89,27.31,47.18,296.17,0.0,0.0,10.33,2.48,0.0,1.99,0.0,2.72,868.6699999999998,10,24,a
